deployment_id,deployment_date,environment,target,status,error_type,month
DEP_00001,12/6/2025,EMT,LM_Prod,failed,Other Technical Errors,2025-12
DEP_00002,3/30/2026,SIT,LM_Prod,success,,2026-03
DEP_00003,4/10/2026,UAT,LM_Prod,failed,Other Technical Errors,2026-04
DEP_00004,10/13/2025,EMT,MAI,failed,Other Technical Errors,2025-10
DEP_00005,12/21/2025,EMT,MAI,success,,2025-12
DEP_00006,10/20/2025,SIT,LM_Prod,failed,Missing Data/Fields,2025-10
DEP_00007,1/21/2026,DevAll,RCT,success,,2026-01
DEP_00008,4/2/2026,DevAll,MAI,failed,Validation/Cross-Ref Errors,2026-04
DEP_00009,4/26/2026,UAT,MAI,success,,2026-04
DEP_00010,11/27/2025,UAT,LM_Prod,failed,Other Technical Errors,2025-11
DEP_00011,4/29/2026,DevAll,LM_Prod,failed,Duplicate Records,2026-04
DEP_00012,3/15/2026,DevAll,RCT,success,,2026-03
DEP_00013,3/2/2026,UAT,RCT,failed,Validation/Cross-Ref Errors,2026-03
DEP_00014,1/17/2026,SIT,RNT_SI,success,,2026-01
DEP_00015,5/11/2026,SIT,RCT,success,,2026-05
DEP_00016,3/23/2026,DevAll,RCT,failed,Validation/Cross-Ref Errors,2026-03
DEP_00017,12/2/2025,SIT,LM_Prod,failed,Permission Issues,2025-12
DEP_00018,12/11/2025,UAT,RCT,success,,2025-12
DEP_00019,4/30/2026,SIT,MAI,failed,Duplicate Records,2026-04
DEP_00020,1/4/2026,SIT,MAI,success,,2026-01
DEP_00021,3/29/2026,DevAll,RCT,failed,Permission Issues,2026-03
DEP_00022,12/9/2025,SIT,RCT,failed,Validation/Cross-Ref Errors,2025-12
DEP_00023,3/26/2026,EMT,RCT,success,,2026-03
DEP_00024,10/19/2025,DevAll,MAI,failed,Other Technical Errors,2025-10
DEP_00025,4/22/2026,DevAll,LM_Prod,failed,Duplicate Records,2026-04
DEP_00026,1/25/2026,DevAll,LM_Prod,success,,2026-01
DEP_00027,4/4/2026,DevAll,MAI,failed,Missing Data/Fields,2026-04
DEP_00028,4/5/2026,DevAll,MAI,success,,2026-04
DEP_00029,10/29/2025,DevAll,LM_Prod,success,,2025-10
DEP_00030,3/24/2026,EMT,MAI,success,,2026-03
DEP_00031,4/24/2026,DevAll,RCT,success,,2026-04
DEP_00032,4/11/2026,EMT,RNT_SI,failed,Other Technical Errors,2026-04
DEP_00033,10/24/2025,UAT,RNT_SI,failed,Duplicate Records,2025-10
DEP_00034,3/15/2026,DevAll,RCT,success,,2026-03
